date,price
2024-10-12,62392.34048293159
2024-10-13,63207.77062127557
2024-10-14,62829.533686088886
2024-10-15,66049.99492708022
2024-10-16,66962.21994496793
2024-10-17,67647.54414766871
2024-10-18,67328.10527002988
2024-10-19,68465.61920668735
2024-10-20,68388.87128965274
2024-10-21,68962.82918045693
2024-10-22,67394.85775735618
2024-10-23,67351.04793512498
2024-10-24,66683.96806542306
2024-10-25,68214.05205157402
2024-10-26,66585.66535501445
2024-10-27,67018.1650170265
2024-10-28,67938.55412885673
2024-10-29,69845.304531169
2024-10-30,72781.11308158132
2024-10-31,72342.62171127986
2024-11-01,70264.99735573279
2024-11-02,69507.92256395647
2024-11-03,69299.16036699413
2024-11-04,68803.50626277467
2024-11-05,67793.29782704762
2024-11-06,69335.42553133758
2024-11-07,75620.88606963192
2024-11-08,75987.24178320667
2024-11-09,76550.0213845611
2024-11-10,76630.22631415377
2024-11-11,80466.71654833542
2024-11-12,88637.42000322911
2024-11-13,88264.59974582895
2024-11-14,90488.10007497849
2024-11-15,87407.51273710128
2024-11-16,90947.97509443703
2024-11-17,90606.45489380708
2024-11-18,89841.47194135105
2024-11-19,90534.62459650292
2024-11-20,92251.65240738312
2024-11-21,94217.02229634205
2024-11-22,98509.11859102432
2024-11-23,98927.49494553401
2024-11-24,97679.46381643033
2024-11-25,98015.9355289458
2024-11-26,93004.70093103287
2024-11-27,91931.83077291827
2024-11-28,95981.18057210564
2024-11-29,95661.59595817851
2024-11-30,97453.2473451042
2024-12-01,96513.14234698225
2024-12-02,97311.70719084324
2024-12-03,95833.1362300365
2024-12-04,96031.63097759831
2024-12-05,98881.4694561823
2024-12-06,97201.50036407741
2024-12-07,99973.85150659826
2024-12-08,99781.82999198174
2024-12-09,101235.3717025316
2024-12-10,97353.94700820887
2024-12-11,96649.71446771531
2024-12-12,101123.61811033697
2024-12-13,100000.80836535197
2024-12-14,101352.22971292294
2024-12-15,101367.01064553364
2024-12-16,104721.50151808978
2024-12-17,106074.10723541168
2024-12-18,106034.913402645
2024-12-19,100355.5761481501
2024-12-20,97851.35377075805
2024-12-21,97691.43431692653
2024-12-22,97202.82496847633
2024-12-23,95094.27394862173
2024-12-24,94644.91085464321
2024-12-25,98695.71400782601
2024-12-26,99344.95417367229
2024-12-27,95678.31244565405
2024-12-28,94331.94727053077
2024-12-29,95184.61945288602
2024-12-30,93663.44751964067
2024-12-31,92627.28213113277
2025-01-01,93507.85874741491
2025-01-02,94384.1761153871
2025-01-03,96852.14681235075
2025-01-04,98084.34279280754
2025-01-05,98256.73876849933
2025-01-06,98364.58946599838
2025-01-07,102229.39453189743
2025-01-08,96952.09886774956
2025-01-09,95016.71440989176
2025-01-10,92376.27578346101
2025-01-11,94736.6267420969
2025-01-12,94559.55167224213
2025-01-13,94454.77089638807
2025-01-14,94456.3493746993
2025-01-15,96574.07768799194
2025-01-16,100313.15239828422
2025-01-17,100044.57926776377
2025-01-18,104160.69358484233
2025-01-19,104334.61575724394
2025-01-20,101275.33714814208
2025-01-21,101764.90860170545
2025-01-22,106182.2368201815
2025-01-23,103673.53509537787
2025-01-24,104067.60991206947
2025-01-25,104835.19253555956
2025-01-26,104796.04077738234
2025-01-27,102552.24874280207
2025-01-28,101958.46953745594
2025-01-29,101313.11264498268
2025-01-30,103718.97939813645
2025-01-31,104781.5135100103
2025-02-01,102382.39409722165
2025-02-02,100674.78762544956
2025-02-03,97568.31653024875
2025-02-04,101466.8606657039
2025-02-05,98118.43921664466
2025-02-06,96582.88682919052
2025-02-07,96635.41875332211
2025-02-08,96558.4563096667
2025-02-09,96558.23762501091
2025-02-10,96548.57865379585
2025-02-11,97399.98161383197
2025-02-12,95739.97737079239
2025-02-13,97836.18856127483
2025-02-14,96561.6639990985
2025-02-15,97488.48148536457
2025-02-16,97569.95169430465
2025-02-17,96149.3484548204
2025-02-18,95776.15723852723
2025-02-19,95495.89153299287
2025-02-20,96554.87156259285
2025-02-21,98384.31738240314
2025-02-22,96135.15541305285
2025-02-23,96564.15414290235
2025-02-24,96327.46309127835
2025-02-25,91396.76686930266
2025-02-26,88755.7693356979
2025-02-27,83900.11496524839
2025-02-28,84709.14477847965
2025-03-01,84441.9012237131
2025-03-02,86005.25629681018
2025-03-03,94261.53286538439
2025-03-04,86124.71418722175
2025-03-05,87310.80531078295
2025-03-06,90604.08098523637
2025-03-07,90001.40087607042
2025-03-08,86773.33597555371
2025-03-09,86142.9833586432
2025-03-10,80751.13893300897
2025-03-11,78783.94057934263
2025-03-12,82799.1080292053
2025-03-13,83884.24578828987
2025-03-14,81098.90052436228
2025-03-15,83971.70916064628
2025-03-16,84391.69087647168
2025-03-17,82610.61750343916
2025-03-18,84075.36559694471
2025-03-19,82780.03048688271
2025-03-20,86815.44109470697
2025-03-21,84270.84358966233
2025-03-22,84009.532917822
2025-03-23,83793.30854192551
2025-03-24,85787.70914901773
2025-03-25,87327.72969669085
2025-03-26,87520.58391530563
2025-03-27,86960.8555491039
2025-03-28,87227.27158032371
2025-03-29,84359.46915506005
2025-03-30,82679.17255385047
2025-03-31,82356.38111183756
2025-04-01,82514.09365397849
2025-04-02,85237.5876052852
2025-04-03,82526.4221526433
2025-04-04,83163.98757387721
2025-04-05,83852.00765399594
2025-04-06,83595.88550177493
2025-04-07,78211.48358199988
2025-04-08,79179.29226757778
2025-04-09,76329.090356324
2025-04-10,82622.17029546302
2025-04-11,79596.35732250768
2025-04-12,83439.28818043756
2025-04-13,85305.09728392666
2025-04-14,83600.82010054543
2025-04-15,84523.4524914945
2025-04-16,83656.49248858042
2025-04-17,84105.77942167096
2025-04-18,84930.90857600998
2025-04-19,84433.75017215389
2025-04-20,85126.66244301842
2025-04-21,85073.16544858096
2025-04-22,87452.04699068287
2025-04-23,93576.16588573981
2025-04-24,93605.45230873208
2025-04-25,93872.81422867288
2025-04-26,94773.11200643536
2025-04-27,94644.06637120107
2025-04-28,93809.33781968223
2025-04-29,95030.60645474444
2025-04-30,94256.35946318062
2025-05-01,94235.75331048167
2025-05-02,96426.94522273027
2025-05-03,96855.5681343944
2025-05-04,95922.86842404422
2025-05-05,94326.62048529249
2025-05-06,94758.8237105546
2025-05-07,96854.53198815876
2025-05-08,97026.49376966801
2025-05-09,103076.27555512934
2025-05-10,102962.54045692299
2025-05-11,104630.8792994166
2025-05-12,103994.061616746
2025-05-13,102876.8304286011
2025-05-14,104184.49039270742
2025-05-15,103594.42575090709
2025-05-16,103708.85136423641
2025-05-17,103556.03493982446
2025-05-18,103212.36483885496
2025-05-19,106030.6376831359
2025-05-20,105629.41580436694
2025-05-21,106786.71995834043
2025-05-22,109665.86371625263
2025-05-23,111560.356938144
2025-05-24,107216.66856870624
2025-05-25,107831.36374380375
2025-05-26,108861.81037744327
2025-05-27,109377.71513263129
2025-05-28,109068.45694901445
2025-05-29,107838.18431100152
2025-05-30,105745.41660358038
2025-05-31,104010.91956242644
2025-06-01,104687.50742934884
2025-06-02,105710.00593822816
2025-06-03,105884.74263221149
2025-06-04,105434.47745144971
2025-06-05,104812.9182188067
2025-06-06,101650.7387545425
2025-06-07,104409.74967959142
2025-06-08,105681.4546141758
2025-06-09,105692.24740699006
2025-06-10,110261.57485948496
2025-06-11,110212.73252109604
2025-06-12,108679.9760916168
2025-06-13,105979.22902375912
2025-06-14,106045.56440819203
2025-06-15,105482.90611628917
2025-06-16,105554.49383061715
2025-06-17,106951.2720181497
2025-06-18,104683.42479835715
2025-06-19,104722.695052907
2025-06-20,104690.65002458123
2025-06-21,103290.105144757
2025-06-22,101532.5683847329
2025-06-23,100852.58264648831
2025-06-24,105511.62437933135
2025-06-25,105976.06929808448
2025-06-26,107238.53045016268
2025-06-27,106984.01253775663
2025-06-28,107078.91560644074
2025-06-29,107331.58548463577
2025-06-30,108396.61631317894
2025-07-01,107132.79910701896
2025-07-02,105613.39974163055
2025-07-03,108824.44423167943
2025-07-04,109602.20483914016
2025-07-05,108040.8919400104
2025-07-06,108217.46849992426
2025-07-07,109215.19771840284
2025-07-08,108300.71675785031
2025-07-09,108953.19187727802
2025-07-10,111327.53054245669
2025-07-11,115879.65030112496
2025-07-12,117571.02510036016
2025-07-13,117418.95745007684
2025-07-14,119117.55666327637
2025-07-15,119833.67446712355
2025-07-16,117678.19493404306
2025-07-17,118748.1627367753
2025-07-18,119445.36520434043
2025-07-19,117988.94664455787
2025-07-20,117901.62655900871
2025-07-21,117256.9208222684
2025-07-22,117482.46977767294
2025-07-23,119955.79570607653
2025-07-24,118629.05588130427
2025-07-25,118354.43517438594
2025-07-26,117540.80837085741
2025-07-27,117959.54234360624
2025-07-28,119418.91405141471
2025-07-29,118003.30201607826
2025-07-30,117853.30892863822
2025-07-31,117833.24087995925
2025-08-01,115700.00243915782
2025-08-02,113234.6051343189
2025-08-03,112554.90232221723
2025-08-04,114199.10966460757
2025-08-05,115138.68613070177
2025-08-06,114128.35408881678
2025-08-07,115022.09576830892
2025-08-08,117463.47451085235
2025-08-09,116688.36663186055
2025-08-10,116510.08393213755
2025-08-11,119266.92516880555
2025-08-12,118773.79960860992
2025-08-13,120202.53485503166
2025-08-14,123560.99363577305
2025-08-15,118405.59579823953
2025-08-16,117339.79190213277
2025-08-17,117501.21653394958
2025-08-18,117542.83687778088
2025-08-19,116256.41276740946
2025-08-20,112778.34483555844
2025-08-21,114252.39755195397
2025-08-22,112414.39987336512
2025-08-23,116834.24948202295
2025-08-24,115359.98346714744
2025-08-25,113399.54847314971
2025-08-26,110185.35443900425
2025-08-27,111842.70999260596
2025-08-28,111216.08479629169
2025-08-29,112525.59740669793
2025-08-30,108480.30666639366
2025-08-31,108781.95727925687
2025-09-01,108253.36092385623
2025-09-02,109162.68557992298
2025-09-03,111190.18209845416
2025-09-04,111711.51977725117
2025-09-05,110724.736377486
2025-09-06,110662.18112628513
2025-09-07,110209.1888247784
2025-09-08,111131.9923868407
2025-09-09,112025.12878118771
2025-09-10,111547.43956434788
2025-09-11,113975.32489468766
2025-09-12,115503.16663193036
2025-09-13,116160.14344594491
2025-09-14,115970.58488443034
2025-09-15,115373.55555886829
2025-09-16,115397.25272727509
2025-09-17,116762.8496864193
2025-09-18,116455.94648225319
2025-09-19,117145.49508952006
2025-09-20,115655.81046441344
2025-09-21,115715.51536781774
2025-09-22,115304.47999407038
2025-09-23,112696.74101711863
2025-09-24,112022.16587861195
2025-09-25,113320.56908541008
2025-09-26,108963.53013595635
2025-09-27,109710.20874667744
2025-09-28,109654.81021075726
2025-09-29,112142.57362752674
2025-09-30,114309.15041119447
2025-10-01,114024.22783550054
2025-10-02,118503.24451752483
2025-10-03,120611.71911591051
2025-10-04,122250.15186842803
2025-10-05,122380.93708463266
2025-10-06,123506.18520027678
2025-10-07,124773.50823074432
2025-10-08,121518.75593575071
2025-10-09,123352.50487523204
2025-10-10,121698.03066778315
2025-10-11,113201.74064138904
2025-10-11,112286.96966677415
